Epoch,train_sat,test_sat,train_accuracy,test_accuracy
0,0.998703122138977,0.9984764456748962,0.015154102817177773,0.01784932240843773
1,0.9987563490867615,0.9983381628990173,0.014390469528734684,0.020087776705622673
2,0.9987630248069763,0.9983653426170349,0.014099013060331345,0.01925162971019745
3,0.9987525343894958,0.9982039928436279,0.01423092931509018,0.0216780174523592
4,0.9987789392471313,0.9982494711875916,0.01381787471473217,0.021159522235393524
5,0.9987435936927795,0.9983929991722107,0.014590682461857796,0.01891355961561203
6,0.9987074136734009,0.9981709718704224,0.014956765808165073,0.02204734832048416
7,0.9987779855728149,0.99790358543396,0.013790426775813103,0.024687811732292175
8,0.9988185167312622,0.998187243938446,0.01316318940371275,0.02179933711886406
9,0.9987507462501526,0.997994601726532,0.014047401025891304,0.023857178166508675
10,0.998816728591919,0.9984270334243774,0.013331322930753231,0.018975479528307915
11,0.9987301826477051,0.9984722137451172,0.014514138922095299,0.018518084660172462
12,0.9987330436706543,0.9977087378501892,0.014636263251304626,0.02660159207880497
13,0.9987330436706543,0.9982206225395203,0.014308961108326912,0.021493826061487198
14,0.9988138675689697,0.9982799291610718,0.013308794237673283,0.020639915019273758
15,0.998836874961853,0.9982771873474121,0.013003308326005936,0.020468682050704956
16,0.998741865158081,0.9982000589370728,0.013972579501569271,0.02170117199420929
17,0.9987388253211975,0.998076856136322,0.014342863112688065,0.023067684844136238
18,0.9988452792167664,0.9983866214752197,0.012849465012550354,0.01921139471232891
19,0.9986965656280518,0.9979852437973022,0.014847259037196636,0.023970739915966988
20,0.9988756775856018,0.9984729290008545,0.01242371927946806,0.018401797860860825
21,0.9987402558326721,0.9985342025756836,0.01434263400733471,0.01780804432928562
22,0.9987476468086243,0.9985343813896179,0.014251592569053173,0.017634425312280655
23,0.9985950589179993,0.9985283613204956,0.017246393486857414,0.01707899011671543
24,0.9987921118736267,0.9976939558982849,0.013631513342261314,0.026879796758294106
25,0.9987730979919434,0.9983669519424438,0.013673728331923485,0.01992078498005867
26,0.9988187551498413,0.9984612464904785,0.013225152157247066,0.018560048192739487
27,0.9987167119979858,0.9982056617736816,0.014582665637135506,0.021400000900030136
28,0.9987426996231079,0.9981318712234497,0.0142207695171237,0.022470636293292046
29,0.9987990856170654,0.998441219329834,0.013714350759983063,0.019065098837018013
30,0.9987495541572571,0.9980376958847046,0.013902056030929089,0.023353885859251022
31,0.9987406134605408,0.9979820251464844,0.014503353275358677,0.023984476923942566
32,0.9987781643867493,0.998415470123291,0.014218376018106937,0.01878790557384491
33,0.998737096786499,0.9981594085693359,0.014414800330996513,0.022199684754014015
34,0.9988477826118469,0.9982213377952576,0.012766364961862564,0.021461959928274155
35,0.9986766576766968,0.9983550310134888,0.015689149498939514,0.0195687897503376
36,0.9987519979476929,0.9982285499572754,0.01412209589034319,0.021425064653158188
37,0.9988687634468079,0.9982374906539917,0.012446993961930275,0.021372206509113312
38,0.9986732006072998,0.9983408451080322,0.015331790782511234,0.01962943933904171
39,0.9987950325012207,0.998471200466156,0.013755799271166325,0.018283212557435036
40,0.9987200498580933,0.9985642433166504,0.014733844436705112,0.016790999099612236
41,0.9988105893135071,0.9983510971069336,0.013515202328562737,0.019483083859086037
42,0.9987751245498657,0.9981129169464111,0.013579228892922401,0.022596998140215874
43,0.9986568093299866,0.99831223487854,0.01617630198597908,0.01996869221329689
44,0.9987225532531738,0.9983537197113037,0.014898214489221573,0.019892973825335503
45,0.9988133907318115,0.9980730414390564,0.013290212489664555,0.02303360402584076
46,0.9987595081329346,0.9980654716491699,0.014158929698169231,0.023055661469697952
47,0.9988000392913818,0.9980146288871765,0.013314093463122845,0.023593924939632416
48,0.998849093914032,0.9982070922851562,0.012777488678693771,0.021555082872509956
49,0.998778223991394,0.9979963302612305,0.013659008778631687,0.023831108585000038
50,0.998801589012146,0.9984096884727478,0.013577845878899097,0.019012009724974632
51,0.9987340569496155,0.9981757998466492,0.014480218291282654,0.02195587567985058
52,0.998824954032898,0.9983183741569519,0.013024333864450455,0.02021649107336998
53,0.9987601041793823,0.9982837438583374,0.014215867966413498,0.020714929327368736
54,0.9987281560897827,0.9976374506950378,0.014845695346593857,0.02737734466791153
55,0.9987715482711792,0.998266875743866,0.013805501163005829,0.020920876413583755
56,0.9988248348236084,0.998481035232544,0.013154289685189724,0.017922332510352135
57,0.9986764192581177,0.9985658526420593,0.015417569316923618,0.017027294263243675
58,0.9987362027168274,0.998553991317749,0.01447288878262043,0.017236212268471718
59,0.9987967014312744,0.9984356760978699,0.013690648600459099,0.018464358523488045
60,0.9986962676048279,0.9981495141983032,0.01529214158654213,0.02231532521545887
61,0.9988694787025452,0.9982103109359741,0.012457400560379028,0.0214440505951643
62,0.9987375140190125,0.9983579516410828,0.014314133673906326,0.019614901393651962
63,0.998735249042511,0.9979668855667114,0.01440927293151617,0.024086754769086838
