Epoch,train_sat,test_sat,train_accuracy,test_accuracy
0,0.9913401007652283,0.9885130524635315,0.0999525785446167,0.132701575756073
1,0.9913225769996643,0.9894397854804993,0.1002463549375534,0.12186045944690704
2,0.9914463758468628,0.9887360334396362,0.09872040897607803,0.13008934259414673
3,0.9914348721504211,0.9895889759063721,0.09893498569726944,0.12012521922588348
4,0.9915449023246765,0.9889883995056152,0.09757368266582489,0.1271362006664276
5,0.9915347099304199,0.989746630191803,0.09777364134788513,0.11829101294279099
6,0.991632878780365,0.989291250705719,0.09655846655368805,0.12358846515417099
7,0.9916329383850098,0.9898820519447327,0.09662537276744843,0.11672080308198929
8,0.9917312264442444,0.9895601868629456,0.0954211950302124,0.1204422190785408
9,0.9917263984680176,0.9900297522544861,0.0955389216542244,0.11500454694032669
10,0.9918237924575806,0.9897456765174866,0.0943373516201973,0.11827506870031357
11,0.991818904876709,0.9901710152626038,0.09446312487125397,0.11336657404899597
12,0.9919191002845764,0.9900593757629395,0.09323261678218842,0.11460288614034653
13,0.9919117093086243,0.9903244972229004,0.0933794230222702,0.11158410459756851
14,0.9920094013214111,0.9902639389038086,0.09217727929353714,0.11221274733543396
15,0.9920026063919067,0.9904860258102417,0.09232503175735474,0.1097097173333168
16,0.9920881390571594,0.9906102418899536,0.09127403795719147,0.1081591248512268
17,0.9920982718467712,0.9906008839607239,0.09120363742113113,0.1083802729845047
18,0.9921731352806091,0.990867018699646,0.09028536081314087,0.10515668243169785
19,0.992188572883606,0.9907704591751099,0.0901542603969574,0.1064135804772377
20,0.9922518134117126,0.9911037087440491,0.08937034755945206,0.10239256918430328
21,0.9922810196876526,0.9909783601760864,0.08908268809318542,0.10399270802736282
22,0.9923337697982788,0.9913116097450256,0.08841140568256378,0.09996486455202103
23,0.9923639893531799,0.991091251373291,0.08811066299676895,0.1026919037103653
24,0.9924209713935852,0.991551399230957,0.08739521354436874,0.09716212749481201
25,0.9924492239952087,0.9912471771240234,0.0871204286813736,0.10088334232568741
26,0.9925008416175842,0.991777777671814,0.0864642858505249,0.09451796859502792
27,0.9925272464752197,0.9913583993911743,0.08621463179588318,0.0995950773358345
28,0.9925833940505981,0.9919869899749756,0.08549828827381134,0.0920754075050354
29,0.9926124215126038,0.9914727807044983,0.08522023260593414,0.09826967120170593
30,0.9926556944847107,0.9922122359275818,0.08466034382581711,0.08944539725780487
31,0.9926906824111938,0.9915879368782043,0.08429960161447525,0.09694626927375793
32,0.9927352666854858,0.9923827648162842,0.08373214304447174,0.0874534621834755
33,0.9927703142166138,0.9917775988578796,0.08337872475385666,0.09473706781864166
34,0.9928044080734253,0.9926005005836487,0.08292972296476364,0.08491121977567673
35,0.9928508400917053,0.9918459057807922,0.08243858814239502,0.09394355118274689
36,0.9928835034370422,0.9927669763565063,0.08200681209564209,0.08296696841716766
37,0.992925763130188,0.9920232892036438,0.08157122135162354,0.09187999367713928
38,0.9929572939872742,0.9929189085960388,0.08114668726921082,0.08119400590658188
39,0.9930003881454468,0.9921170473098755,0.08069860935211182,0.09078889340162277
