Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.19902198016643524,0.2760620713233948,0.22818775475025177,0.28608396649360657
1,0.3168350160121918,0.3836442530155182,0.3758282959461212,0.519006073474884
2,0.3935321569442749,0.4005117416381836,0.5393408536911011,0.5520312786102295
3,0.4112630784511566,0.4216345250606537,0.5696842670440674,0.5822551250457764
4,0.49616992473602295,0.5790729522705078,0.6556456685066223,0.7323819994926453
5,0.6053797602653503,0.6082002520561218,0.7552995681762695,0.7580081820487976
6,0.7140016555786133,0.7673208713531494,0.8655055165290833,0.9185865521430969
7,0.8051579594612122,0.8154523968696594,0.9421616792678833,0.9500288963317871
8,0.8268795609474182,0.8268737196922302,0.9553548693656921,0.9558324813842773
9,0.8258439898490906,0.8432861566543579,0.954249382019043,0.9637715816497803
10,0.8277892470359802,0.862845778465271,0.9545226097106934,0.9728663563728333
11,0.8411675095558167,0.8400532603263855,0.9621477127075195,0.9623018503189087
12,0.8518890142440796,0.8524868488311768,0.9676310420036316,0.9682310223579407
13,0.8516255617141724,0.8412379026412964,0.9675870537757874,0.9630053043365479
14,0.8538363575935364,0.8512037992477417,0.9686768054962158,0.9680551886558533
15,0.8595453500747681,0.8488357067108154,0.9714058637619019,0.9669371843338013
16,0.8410194516181946,0.850898027420044,0.961513340473175,0.9679797887802124
17,0.8635494112968445,0.855705201625824,0.9728819131851196,0.9700902104377747
18,0.8453993201255798,0.8065593838691711,0.9642612934112549,0.9437856674194336
19,0.8358842134475708,0.8573101758956909,0.9591108560562134,0.9706555008888245
20,0.8624508380889893,0.8558304309844971,0.9723700284957886,0.970039963722229
21,0.8458532691001892,0.8532367944717407,0.9649490714073181,0.9689344763755798
22,0.8559970259666443,0.8560176491737366,0.9699078798294067,0.9701529741287231
23,0.8594975471496582,0.847238302230835,0.9711986184120178,0.9665226340293884
24,0.8489986658096313,0.7965513467788696,0.9663591384887695,0.9377559423446655
25,0.8405740857124329,0.8524389266967773,0.9622199535369873,0.9685199856758118
26,0.8552347421646118,0.8527414202690125,0.969496488571167,0.9687963128089905
27,0.8578330874443054,0.8559668064117432,0.9705987572669983,0.9700902104377747
28,0.868783175945282,0.8608299493789673,0.975221574306488,0.9723889827728271
29,0.857492983341217,0.8555327653884888,0.9705390930175781,0.9699519872665405
30,0.8588213920593262,0.8605849742889404,0.9710635542869568,0.9722382426261902
31,0.8615144491195679,0.8598712682723999,0.9722789525985718,0.9718614220619202
32,0.8604047298431396,0.8873270750045776,0.9714969396591187,0.9830666184425354
33,0.8583965301513672,0.8460329174995422,0.9704323410987854,0.9656684398651123
34,0.8653668761253357,0.8585299253463745,0.9738805890083313,0.9709820747375488
35,0.8660534620285034,0.8883793354034424,0.9741286635398865,0.9839710593223572
36,0.8602989315986633,0.8600364327430725,0.9716885089874268,0.9720624089241028
37,0.8622357249259949,0.8579445481300354,0.9726181030273438,0.9710448980331421
38,0.8604516983032227,0.857507050037384,0.9718738198280334,0.9708690047264099
39,0.8720300793647766,0.8591902256011963,0.9766787886619568,0.9716101884841919
40,0.8659003376960754,0.8933601379394531,0.9741349816322327,0.9851393103599548
41,0.8724732995033264,0.8590393662452698,0.9768891930580139,0.9715850353240967
42,0.8463153839111328,0.8673462867736816,0.965285062789917,0.9753033518791199
43,0.8760888576507568,0.8609530925750732,0.978179931640625,0.972464382648468
44,0.8751004338264465,0.8805522322654724,0.9779223799705505,0.9806672930717468
45,0.8759826421737671,0.8786529302597046,0.9782678484916687,0.9799010157585144
46,0.9007543921470642,0.8805403709411621,0.9869607090950012,0.9805793762207031
47,0.8794564008712769,0.8740307688713074,0.9797093272209167,0.9784312844276428
48,0.8935011625289917,0.9012498259544373,0.9848408699035645,0.9879029393196106
49,0.9097602367401123,0.9187051057815552,0.9898248314857483,0.9928020238876343
