Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.5819064378738403,0.6140980124473572,0.8122146129608154,0.8462929725646973
1,0.6085317134857178,0.6200892329216003,0.8474760055541992,0.8591688871383667
2,0.6446211934089661,0.714494526386261,0.8739157319068909,0.9005979299545288
3,0.7215196490287781,0.7306538224220276,0.9036279320716858,0.9088762402534485
4,0.7392241358757019,0.7304137945175171,0.9201531410217285,0.907670259475708
5,0.7203696370124817,0.7122017741203308,0.9085333347320557,0.9143908619880676
6,0.7532551288604736,0.7356992363929749,0.9366658329963684,0.9120543599128723
7,0.7276601195335388,0.7375679612159729,0.9054054021835327,0.9136622548103333
8,0.7368242144584656,0.7415608763694763,0.9133791327476501,0.9168906807899475
9,0.750874400138855,0.7510690093040466,0.9327904582023621,0.9403311014175415
10,0.7638264298439026,0.7399798631668091,0.9384433627128601,0.9348415732383728
11,0.7521132826805115,0.7874398827552795,0.9360471367835999,0.9530814290046692
12,0.7541399002075195,0.7684245705604553,0.9304351210594177,0.9379569292068481
13,0.7536758184432983,0.7421936392784119,0.9361507892608643,0.9352937936782837
14,0.7691320180892944,0.7893573641777039,0.9447085857391357,0.9532070159912109
15,0.7461128234863281,0.748092770576477,0.9379754066467285,0.9392130970954895
16,0.764952540397644,0.7723608613014221,0.9404093027114868,0.9411099553108215
17,0.7749462723731995,0.7941391468048096,0.9433927536010742,0.9561590552330017
18,0.7955138683319092,0.8299432992935181,0.9497051239013672,0.9579930901527405
19,0.782278835773468,0.8002260327339172,0.9469665884971619,0.9552169442176819
20,0.8164535164833069,0.8204545974731445,0.9581875801086426,0.9537597894668579
21,0.8346157670021057,0.8399490118026733,0.9612118601799011,0.9641233086585999
22,0.8543006181716919,0.8830825090408325,0.9705987572669983,0.9830414652824402
23,0.8380324840545654,0.8090956807136536,0.9705673456192017,0.9642866253852844
24,0.8084658980369568,0.8447557091712952,0.961136519908905,0.9738336205482483
25,0.8624582886695862,0.7940822839736938,0.9778847098350525,0.9564480185508728
26,0.795362651348114,0.8150368928909302,0.9583194851875305,0.965567946434021
27,0.8191738724708557,0.8229957222938538,0.9683062434196472,0.9699897170066833
28,0.8316170573234558,0.8402389883995056,0.9655048847198486,0.9632439613342285
29,0.8640217185020447,0.8734425902366638,0.9756612181663513,0.9785568714141846
30,0.8726676106452942,0.868976354598999,0.979279100894928,0.9774765968322754
31,0.8642002940177917,0.8717383146286011,0.9749671816825867,0.9780795574188232
32,0.8597356677055359,0.8637804985046387,0.9737235903739929,0.9761324524879456
33,0.8836761713027954,0.8982870578765869,0.9831952452659607,0.9881541728973389
34,0.8340566754341125,0.8351632356643677,0.959751546382904,0.9606813788414001
35,0.8638120293617249,0.9035572409629822,0.9792696833610535,0.9894605875015259
36,0.8953518271446228,0.8662721514701843,0.9864990711212158,0.9755545854568481
37,0.8918790221214294,0.9151696562767029,0.985896110534668,0.9930155873298645
38,0.8974014520645142,0.8866977691650391,0.9867785573005676,0.9835188388824463
39,0.9112852215766907,0.8986836671829224,0.9920043349266052,0.9882044196128845
40,0.8944639563560486,0.9180835485458374,0.986370325088501,0.9938949346542358
41,0.9083324670791626,0.9110655188560486,0.9911344051361084,0.9918096661567688
42,0.9091641902923584,0.9077224135398865,0.9913950562477112,0.9908674955368042
43,0.9140180945396423,0.8814666271209717,0.9930406808853149,0.9900258779525757
44,0.8941389322280884,0.8227413296699524,0.9891088008880615,0.9693741798400879
45,0.8536925911903381,0.9228914976119995,0.9781736135482788,0.9949124455451965
46,0.9236832857131958,0.9237627983093262,0.9950600266456604,0.9948998689651489
47,0.892837643623352,0.9123977422714233,0.9872496128082275,0.9920608997344971
48,0.8778315782546997,0.8584091067314148,0.9773476719856262,0.9701027274131775
49,0.9008493423461914,0.9209972023963928,0.9881792068481445,0.994447648525238
