Epoch,train_sat,test_sat,train_accuracy,test_accuracy
0,0.9724807739257812,0.9730005264282227,0.40653979778289795,0.3923815190792084
1,0.9738118052482605,0.9743776321411133,0.38686075806617737,0.3722405433654785
2,0.9753499031066895,0.9760873317718506,0.36450597643852234,0.34726327657699585
3,0.9773519039154053,0.9783880710601807,0.33565741777420044,0.31369662284851074
4,0.9800636172294617,0.9813250303268433,0.29602640867233276,0.27090951800346375
5,0.9830420017242432,0.9841284155845642,0.2510296106338501,0.23009096086025238
