Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.3304133415222168,0.40055835247039795,0.8549965023994446,0.9586425423622131
1,0.42425012588500977,0.4432777762413025,0.9668214321136475,0.972952663898468
2,0.4408935010433197,0.4844568967819214,0.9720604419708252,0.9827880859375
3,0.45948246121406555,0.4817119240760803,0.977216362953186,0.9822564125061035
4,0.47045016288757324,0.47119420766830444,0.9801737070083618,0.9798197150230408
5,0.4687504470348358,0.4683254659175873,0.979802668094635,0.97966468334198
6,0.4645098149776459,0.45865848660469055,0.9789110422134399,0.976962149143219
7,0.4569312036037445,0.4766116142272949,0.9764078259468079,0.9815475344657898
8,0.444668710231781,0.4333857297897339,0.9744584560394287,0.9720665812492371
9,0.43005818128585815,0.44486358761787415,0.9704045653343201,0.9743039011955261
