Epoch,train_sat,test_sat,train_accuracy,test_accuracy
0,0.8006666302680969,0.8203468322753906,0.30184438824653625,0.2668684720993042
1,0.8454105854034424,0.8609890937805176,0.21765044331550598,0.17941929399967194
2,0.8680264949798584,0.8702254295349121,0.1707199513912201,0.16877306997776031
3,0.8697187304496765,0.8704835176467896,0.16826991736888885,0.16840386390686035
4,0.8702165484428406,0.8716459274291992,0.1679428517818451,0.16813170909881592
5,0.8706560730934143,0.8720467686653137,0.1676824986934662,0.1678187996149063
6,0.870755672454834,0.8717425465583801,0.16741235554218292,0.16758932173252106
7,0.8709966540336609,0.8700551986694336,0.16713672876358032,0.16746465861797333
8,0.8716490268707275,0.8735639452934265,0.16685768961906433,0.16712044179439545
9,0.8718845844268799,0.8736851811408997,0.16659000515937805,0.16679656505584717
10,0.8719354271888733,0.870891273021698,0.16634048521518707,0.16669894754886627
11,0.8723852634429932,0.8725898861885071,0.16608169674873352,0.1663541942834854
12,0.8727594017982483,0.873693585395813,0.16579174995422363,0.16605183482170105
13,0.8727905750274658,0.8709784746170044,0.16551116108894348,0.16592741012573242
14,0.8732166886329651,0.8721376657485962,0.16521912813186646,0.16558392345905304
15,0.873608410358429,0.8738307952880859,0.1648975908756256,0.1652107536792755
16,0.8738306760787964,0.8739161491394043,0.16455376148223877,0.16490358114242554
17,0.8740680813789368,0.8722607493400574,0.16418461501598358,0.16455969214439392
18,0.8746148943901062,0.8728184700012207,0.16377364099025726,0.1641598492860794
19,0.8749068379402161,0.8727461099624634,0.16333013772964478,0.16374224424362183
20,0.8753023147583008,0.8732566833496094,0.1628493219614029,0.16322149336338043
21,0.8759980797767639,0.8734686970710754,0.1622823029756546,0.16254742443561554
22,0.876995325088501,0.8770170211791992,0.1614990085363388,0.16176052391529083
23,0.8778126835823059,0.8773091435432434,0.16078470647335052,0.1611577421426773
24,0.877305805683136,0.8759326934814453,0.1604054570198059,0.16068758070468903
25,0.8784286379814148,0.8768402934074402,0.1595134288072586,0.16008654236793518
26,0.879055380821228,0.8785654306411743,0.15864267945289612,0.15883325040340424
27,0.8795769810676575,0.8796449899673462,0.15796440839767456,0.158621147274971
28,0.8801167011260986,0.8810076117515564,0.15735900402069092,0.15729084610939026
29,0.8809784650802612,0.8815194368362427,0.15645019710063934,0.15654850006103516
30,0.881663978099823,0.881360650062561,0.15560823678970337,0.1564871221780777
31,0.8819576501846313,0.880678117275238,0.1550186723470688,0.15615476667881012
32,0.8829653263092041,0.8808264136314392,0.1539197713136673,0.1559135615825653
33,0.8837763071060181,0.882300078868866,0.15287458896636963,0.1542796939611435
