Epoch,train_sat,test_sat,train_accuracy,test_accuracy
0,0.9751228094100952,0.9774864912033081,0.3730791211128235,0.3230619430541992
1,0.9807852506637573,0.982569694519043,0.2867019772529602,0.2489263117313385
2,0.9843137264251709,0.9850077629089355,0.2303752899169922,0.21385018527507782
3,0.9854243993759155,0.9854284524917603,0.2116883248090744,0.20794092118740082
4,0.9855325222015381,0.9854561686515808,0.20987649261951447,0.20753200352191925
5,0.9855462908744812,0.985473096370697,0.20968550443649292,0.2073012888431549
6,0.9855417013168335,0.9854800701141357,0.20984409749507904,0.20719079673290253
7,0.9855558276176453,0.9854876399040222,0.2096233069896698,0.20707498490810394
8,0.9855598211288452,0.9854927062988281,0.2095789611339569,0.20700280368328094
9,0.9855687618255615,0.9855000376701355,0.2094828337430954,0.2068503051996231
10,0.9855782985687256,0.9855049848556519,0.20931769907474518,0.2067919373512268
11,0.9855849146842957,0.9855181574821472,0.2092982679605484,0.20655052363872528
12,0.9856045246124268,0.9855241775512695,0.2089746594429016,0.20644831657409668
13,0.9856081008911133,0.9855324029922485,0.20896781980991364,0.20630855858325958
14,0.9856243133544922,0.985540509223938,0.20871968567371368,0.20617158710956573
15,0.9856321811676025,0.9855438470840454,0.20861896872520447,0.20609833300113678
16,0.985642671585083,0.9855555891990662,0.2084837704896927,0.20591764152050018
17,0.9856535792350769,0.9855570793151855,0.20834705233573914,0.2058405578136444
18,0.9856629371643066,0.9855670928955078,0.20816877484321594,0.20574545860290527
19,0.9856683611869812,0.9855813980102539,0.20817150175571442,0.20549695193767548
20,0.9856886863708496,0.9855875372886658,0.2078244537115097,0.20540167391300201
21,0.9856880903244019,0.9855872392654419,0.2078532725572586,0.20540250837802887
22,0.9857048988342285,0.9856101274490356,0.20764675736427307,0.205045685172081
23,0.9857197999954224,0.9856175184249878,0.20740562677383423,0.20493793487548828
24,0.9857169985771179,0.9856287837028503,0.20751459896564484,0.20476244390010834
25,0.9857451915740967,0.9856386184692383,0.20704007148742676,0.20461000502109528
26,0.9857487678527832,0.9856517314910889,0.20703542232513428,0.2044021040201187
27,0.9857698678970337,0.9856694936752319,0.20675650238990784,0.2041189819574356
